ProcessDataID	CodeName	cathodeMass																										
1025825	QA_97_10	18.136944																										
998388	QA_81_15	17.938074																										
185039	QA_3_11	27.95124																										
185099	QA_3_5	28.29354																										
231577	QA_12_9	28.49892																										
1022182	QA_94_2	18.278994																										
1012640	QA_84_9	18.203234																										
185021	QA_1_7	28.1664																										
844936	QA_54_1	19.400304																										
228788	QA_10_5	28.05882																										
849222	QA_60_2	19.620414																										
849431	QA_59_5	19.323744																										
213977	QA_8_12	28.42068																										
1010945	QA_87_14	17.663444																										
849257	QA_60_9	19.735254																										
1025820	QA_97_5	18.439984																										
231532	QA_12_1	28.53804																										
1012660	QA_84_15	18.184294																										
849568	QA_61_4	19.180194																										
870197	QA_68_16	-12.04896																										
845081	QA_56_14	19.515144																										
211633	QA_5_12	28.27398																										
849461	QA_59_11	19.438584																										
1000836	QA_76_6	18.383164																										
1032691	QA_102_13	18.269524																										
1028829	QA_98_5	18.383164																										
1028759	QA_98_2	18.458924																										
1048362	QA_109_7	19.140764																										
835646	QA_52_3	19.323744																										
1038648	QA_99_7	18.184294																										
1022487	QA_95_15	18.222174																										
844941	QA_54_2	19.084494																										
1012705	QA_84_11	18.212704																										
835676	QA_52_9	19.582134																										
909327	QA_71_5	18.970304																										
1035646	QA_101_10	18.316874																										
870167	QA_68_10	-12.04896																										
931070	QA_73_6	18.733554																										
1010825	QA_86_3	18.600974																										
868842	QA_65_1	28.7043																										
212285	QA_6_9	28.28376																										
871057	QA_69_12	-12.04896																										
1014089	QA_89_15	NULL																										
848094	QA_62_13	18.761964																										
869317	QA_66_16	-12.04896																										
1048222	QA_110_15	18.960834																										
1048157	QA_110_12	18.960834																										
231547	QA_12_14	28.29354																										
1041278	QA_106_4	18.136944																										
185033	QA_3_10	28.07838																										
1012905	QA_85_4	18.477864																										
845041	QA_56_6	19.687404																										
997702	QA_75_12	17.919134																										
849247	QA_60_7	19.735254																										
1032096	QA_100_16	18.316874																										
1042760	QA_103_8	18.563094																										
212210	QA_1_15	27.95124																										
1012670	QA_84_8	18.260054																										
1014129	QA_89_8	NULL																										
1048167	QA_110_9	19.121824																										
998351	QA_81_10	18.146414																										
1041328	QA_106_8	17.871784																										
1014134	QA_89_9	NULL																										
909382	QA_71_13	19.169174																										
931105	QA_73_13	19.036594																										
848264	QA_58_15	19.371594																										
1022247	QA_94_13	18.373694																										
1042770	QA_103_13	18.080124																										
1042405	QA_105_9	18.364224																										
1041333	QA_106_13	18.042244																										
1009409	QA_82_9	18.458924																										
848269	QA_58_16	19.266324																										
849024	QA_57_10	18.989244																										
231544	QA_12_13	28.54782																										
848234	QA_58_9	19.610844																										
231742	QA_14_15	28.15662																										
1032666	QA_102_3	18.335814																										
909347	QA_71_7	18.998714																										
835866	QA_51_15	18.506274																										
214037	QA_8_8	28.42068																										
835841	QA_51_10	18.468394																										
1009419	QA_82_2	18.979774																										
1042750	QA_103_3	18.383164																										
1040838	QA_104_4	17.994894																										
849553	QA_61_13	19.629984																										
212276	QA_6_6	28.53804																										
870097	QA_70_6	28.9488																										
231604	QA_13_2	28.362																										
212348	QA_7_13	28.5087																										
1010880	QA_86_11	18.525214																										
1011030	QA_87_3	18.278994																										
1048742	QA_111_10	18.932424																										
1012885	QA_85_13	18.241114																										
212324	QA_4_6	27.90234																										
212222	QA_1_4	28.18596																										
213983	QA_8_14	28.5087																										
849392	QA_59_13	19.390734																										
1025845	QA_97_11	18.212704																										
1022047	QA_92_3	18.146414																										
1038573	QA_99_1	18.269524																										
848139	QA_63_6	18.989244																										
844996	QA_54_13	19.524714																										
1022042	QA_92_12	18.402104																										
228761	QA_10_11	28.33266																										
869262	QA_66_5	28.77276																										
848179	QA_63_14	19.074474																										
909282	QA_71_1	18.837724																										
868912	QA_65_15	-12.04896																										
1048182	QA_110_3	18.941894																										
212195	QA_1_10	28.23486																										
909317	QA_71_4	18.780904																										
849282	QA_60_14	19.505574																										
1024408	QA_93_16	18.563094																										
185066	QA_3_15	28.02948																										
1042390	QA_105_11	18.316874																										
997837	QA_79_7	18.042244																										
870187	QA_68_14	-12.04896																										
211624	QA_5_9	28.20552																										
849039	QA_57_13	19.083944																										
1022097	QA_94_10	18.146414																										
849049	QA_57_15	19.008184																										
844896	QA_53_9	18.922954																										
849262	QA_60_10	19.553424																										
1022242	QA_94_8	18.297934																										
849508	QA_61_6	20.012784																										
1041293	QA_106_5	17.881254																										
228764	QA_10_12	28.44024																										
871027	QA_69_6	28.05882																										
213788	QA_9_13	28.43046																										
212297	QA_4_12	28.0686																										
931090	QA_73_10	19.065004																										
844891	QA_53_8	18.922954																										
1022237	QA_94_3	18.477864																										
1000871	QA_76_13	17.900194																										
1035666	QA_101_11	17.966484																										
995313	QA_80_11	18.222174																										
844861	QA_53_2	18.544154																										
849242	QA_60_6	19.601274																										
1038563	QA_99_9	18.174824																										
212246	QA_6_11	28.49892																										
228800	QA_10_9	28.39134																										
995303	QA_80_9	17.928604																										
211642	QA_5_15	28.52826																										
1025880	QA_97_14	18.032774																										
845066	QA_56_11	19.381164																										
185105	QA_3_6	28.27398																										
997877	QA_79_15	18.004364																										
1010870	QA_86_1	18.866134																										
871032	QA_69_7	28.69452																										
849054	QA_57_16	19.169174																										
185144	QA_2_15	28.02948																										
909387	QA_71_14	18.866134																										
